,County,County Code,Deaths,Population
949,"Meade County, KS",20119.0,859.0,79257.0
950,"Miami County, KS",20121.0,4563.0,545428.0
951,"Mitchell County, KS",20123.0,1659.0,115173.0
952,"Montgomery County, KS",20125.0,7703.0,555796.0
953,"Morris County, KS",20127.0,1368.0,104479.0
954,"Morton County, KS",20129.0,635.0,56005.0
955,"Nemaha County, KS",20131.0,2454.0,183092.0
956,"Neosho County, KS",20133.0,3552.0,288401.0
957,"Ness County, KS",20135.0,846.0,56523.0
958,"Norton County, KS",20137.0,1228.0,98170.0
959,"Osage County, KS",20139.0,3300.0,290305.0
960,"Osborne County, KS",20141.0,1189.0,71027.0
961,"Ottawa County, KS",20143.0,1331.0,107767.0
962,"Pawnee County, KS",20145.0,1429.0,116461.0
963,"Phillips County, KS",20147.0,1436.0,100131.0
964,"Pottawatomie County, KS",20149.0,3009.0,358998.0
965,"Pratt County, KS",20151.0,2123.0,169064.0
966,"Rawlins County, KS",20153.0,725.0,47848.0
967,"Reno County, KS",20155.0,12356.0,1093415.0
968,"Republic County, KS",20157.0,1597.0,91753.0
969,"Rice County, KS",20159.0,2287.0,178535.0
970,"Riley County, KS",20161.0,5423.0,1076396.0
971,"Rooks County, KS",20163.0,1235.0,94057.0
972,"Rush County, KS",20165.0,942.0,58992.0
973,"Russell County, KS",20167.0,1772.0,123395.0
974,"Saline County, KS",20169.0,8934.0,912893.0
975,"Scott County, KS",20171.0,984.0,86569.0
976,"Sedgwick County, KS",20173.0,62708.0,7272493.0
977,"Seward County, KS",20175.0,2304.0,371354.0
978,"Shawnee County, KS",20177.0,27911.0,2725961.0
979,"Sheridan County, KS",20179.0,584.0,46519.0
980,"Sherman County, KS",20181.0,1317.0,109170.0
981,"Smith County, KS",20183.0,1205.0,71593.0
982,"Stafford County, KS",20185.0,1110.0,78573.0
983,"Stanton County, KS",20187.0,339.0,39180.0
984,"Stevens County, KS",20189.0,837.0,97596.0
985,"Sumner County, KS",20191.0,4835.0,427264.0
986,"Thomas County, KS",20193.0,1383.0,139544.0
987,"Trego County, KS",20195.0,858.0,54081.0
988,"Wabaunsee County, KS",20197.0,1200.0,122453.0
989,"Wallace County, KS",20199.0,337.0,27639.0
990,"Washington County, KS",20201.0,1514.0,105575.0
991,"Wichita County, KS",20203.0,438.0,40704.0
992,"Wilson County, KS",20205.0,2385.0,168564.0
993,"Woodson County, KS",20207.0,1017.0,60279.0
994,"Wyandotte County, KS",20209.0,17987.0,1927945.0
995,"Adair County, KY",21001.0,3197.0,319098.0
996,"Allen County, KY",21003.0,3627.0,342336.0
997,"Anderson County, KY",21005.0,3178.0,360475.0
998,"Ballard County, KY",21007.0,1864.0,142340.0
999,"Barren County, KY",21009.0,7701.0,700069.0
1000,"Bath County, KY",21011.0,2377.0,204412.0
1001,"Bell County, KY",21013.0,6587.0,501395.0
1002,"Boone County, KY",21015.0,11906.0,1873317.0
1003,"Bourbon County, KY",21017.0,3371.0,329874.0
1004,"Boyd County, KY",21019.0,10701.0,853140.0
1005,"Boyle County, KY",21021.0,5123.0,459868.0
1006,"Bracken County, KY",21023.0,1615.0,150165.0
1007,"Breathitt County, KY",21025.0,3333.0,257439.0
1008,"Breckinridge County, KY",21027.0,3812.0,341432.0
1009,"Bullitt County, KY",21029.0,8209.0,1251335.0
1010,"Butler County, KY",21031.0,2491.0,228858.0
1011,"Caldwell County, KY",21033.0,2878.0,217773.0
1012,"Calloway County, KY",21035.0,6390.0,615058.0
1013,"Campbell County, KY",21037.0,14895.0,1551864.0
1014,"Carlisle County, KY",21039.0,1220.0,90724.0
1015,"Carroll County, KY",21041.0,2137.0,184393.0
1016,"Carter County, KY",21043.0,5351.0,489138.0
1017,"Casey County, KY",21045.0,3380.0,281163.0
1018,"Christian County, KY",21047.0,8308.0,971546.0
1019,"Clark County, KY",21049.0,6005.0,589661.0
1020,"Clay County, KY",21051.0,4333.0,385247.0
1021,"Clinton County, KY",21053.0,2229.0,178147.0
1022,"Crittenden County, KY",21055.0,2219.0,164142.0
1023,"Cumberland County, KY",21057.0,1799.0,120700.0
1024,"Daviess County, KY",21059.0,16309.0,1605368.0
1025,"Edmonson County, KY",21061.0,2164.0,211276.0
1026,"Elliott County, KY",21063.0,1311.0,127148.0
1027,"Estill County, KY",21065.0,3208.0,264484.0
1028,"Fayette County, KY",21067.0,31526.0,4187545.0
1029,"Fleming County, KY",21069.0,2871.0,251927.0
1030,"Floyd County, KY",21071.0,8974.0,711364.0
1031,"Franklin County, KY",21073.0,8229.0,771147.0
1032,"Fulton County, KY",21075.0,1638.0,93921.0
1033,"Gallatin County, KY",21077.0,1571.0,146039.0
1034,"Garrard County, KY",21079.0,2586.0,285384.0
1035,"Grant County, KY",21081.0,3673.0,426508.0
1036,"Graves County, KY",21083.0,7715.0,629159.0
1037,"Grayson County, KY",21085.0,5142.0,448042.0
1038,"Green County, KY",21087.0,2357.0,198023.0
1039,"Greenup County, KY",21089.0,7659.0,649450.0
1040,"Hancock County, KY",21091.0,1343.0,151212.0
1041,"Hardin County, KY",21093.0,12740.0,1514697.0
1042,"Harlan County, KY",21095.0,7336.0,523306.0
1043,"Harrison County, KY",21097.0,3587.0,321758.0
1044,"Hart County, KY",21099.0,3360.0,305266.0
1045,"Henderson County, KY",21101.0,7808.0,751487.0
1046,"Henry County, KY",21103.0,2786.0,265440.0
1047,"Hickman County, KY",21105.0,1091.0,79874.0
1048,"Hopkins County, KY",21107.0,9663.0,773841.0
1049,"Jackson County, KY",21109.0,2715.0,241525.0
1050,"Jefferson County, KY",21111.0,106237.0,9982432.0
1051,"Jessamine County, KY",21113.0,6210.0,783010.0
1052,"Johnson County, KY",21115.0,4966.0,415764.0
1053,"Kenton County, KY",21117.0,23685.0,2655406.0
1054,"Knott County, KY",21119.0,3326.0,296939.0
1055,"Knox County, KY",21121.0,6625.0,560082.0
1056,"Larue County, KY",21123.0,2665.0,239311.0
1057,"Laurel County, KY",21125.0,9709.0,1011533.0
1058,"Lawrence County, KY",21127.0,3319.0,281631.0
1059,"Lee County, KY",21129.0,1763.0,132739.0
1060,"Leslie County, KY",21131.0,2586.0,206650.0
1061,"Letcher County, KY",21133.0,5447.0,434481.0
1062,"Lewis County, KY",21135.0,2768.0,247359.0
1063,"Lincoln County, KY",21137.0,4509.0,424620.0
1064,"Livingston County, KY",21139.0,2171.0,169903.0
1065,"Logan County, KY",21141.0,4892.0,442152.0
1066,"Lyon County, KY",21143.0,1904.0,139204.0
1067,"McCracken County, KY",21145.0,12763.0,1022940.0
1068,"McCreary County, KY",21147.0,3309.0,302980.0
1069,"McLean County, KY",21149.0,2117.0,172345.0
1070,"Madison County, KY",21151.0,10648.0,1354380.0
1071,"Magoffin County, KY",21153.0,2553.0,235910.0
1072,"Marion County, KY",21155.0,3171.0,312411.0
1073,"Marshall County, KY",21157.0,6985.0,552639.0
1074,"Martin County, KY",21159.0,2325.0,217823.0
1075,"Mason County, KY",21161.0,3403.0,283509.0
1076,"Meade County, KY",21163.0,3409.0,484998.0
1077,"Menifee County, KY",21165.0,1258.0,113501.0
1078,"Mercer County, KY",21167.0,4247.0,362253.0
1079,"Metcalfe County, KY",21169.0,2231.0,176844.0
1080,"Monroe County, KY",21171.0,2592.0,195006.0
1081,"Montgomery County, KY",21173.0,4228.0,438278.0
1082,"Morgan County, KY",21175.0,2386.0,237096.0
1083,"Muhlenberg County, KY",21177.0,6693.0,536996.0
1084,"Nelson County, KY",21179.0,5831.0,704367.0
1085,"Nicholas County, KY",21181.0,1721.0,125529.0
1086,"Ohio County, KY",21183.0,4683.0,418810.0
1087,"Oldham County, KY",21185.0,5398.0,954798.0
1088,"Owen County, KY",21187.0,1905.0,190334.0
1089,"Owsley County, KY",21189.0,1344.0,84421.0
1090,"Pendleton County, KY",21191.0,2450.0,261295.0
1091,"Perry County, KY",21193.0,6734.0,503182.0
1092,"Pike County, KY",21195.0,14310.0,1162034.0
1093,"Powell County, KY",21197.0,2635.0,227648.0
1094,"Pulaski County, KY",21199.0,12587.0,1072899.0
1095,"Robertson County, KY",21201.0,580.0,40329.0
1096,"Rockcastle County, KY",21203.0,3419.0,301775.0
1097,"Rowan County, KY",21205.0,3589.0,403724.0
1098,"Russell County, KY",21207.0,3734.0,304974.0
1099,"Scott County, KY",21209.0,4822.0,722512.0
1100,"Shelby County, KY",21211.0,5135.0,645340.0
1101,"Simpson County, KY",21213.0,2886.0,274277.0
1102,"Spencer County, KY",21215.0,1942.0,274094.0
1103,"Taylor County, KY",21217.0,4603.0,408178.0
1104,"Todd County, KY",21219.0,2151.0,199624.0
1105,"Trigg County, KY",21221.0,2607.0,223075.0
1106,"Trimble County, KY",21223.0,1533.0,153849.0
1107,"Union County, KY",21225.0,2847.0,236167.0
1108,"Warren County, KY",21227.0,13892.0,1693996.0
1109,"Washington County, KY",21229.0,2062.0,191657.0
1110,"Wayne County, KY",21231.0,3840.0,359087.0
1111,"Webster County, KY",21233.0,2810.0,233429.0
1112,"Whitley County, KY",21235.0,7906.0,637969.0
1113,"Wolfe County, KY",21237.0,1790.0,128639.0
1114,"Woodford County, KY",21239.0,3480.0,411365.0
1115,"Acadia Parish, LA",22001.0,9302.0,884205.0
1116,"Allen Parish, LA",22003.0,3070.0,335187.0
1117,"Ascension Parish, LA",22005.0,8356.0,1361905.0
1118,"Assumption Parish, LA",22007.0,2482.0,285316.0
1119,"Avoyelles Parish, LA",22009.0,6647.0,509266.0
1120,"Beauregard Parish, LA",22011.0,5314.0,528484.0
1121,"Bienville Parish, LA",22013.0,2388.0,149264.0
1122,"Bossier Parish, LA",22015.0,12923.0,1528644.0
1123,"Caddo Parish, LA",22017.0,28811.0,2317825.0
1124,"Calcasieu Parish, LA",22019.0,25394.0,2496321.0
1125,"Caldwell Parish, LA",22021.0,1892.0,150477.0
1126,"Cameron Parish, LA",22023.0,1001.0,140068.0
1127,"Catahoula Parish, LA",22025.0,1722.0,130513.0
1128,"Claiborne Parish, LA",22027.0,2047.0,149066.0
1129,"Concordia Parish, LA",22029.0,2665.0,216634.0
1130,"De Soto Parish, LA",22031.0,3014.0,278569.0
1131,"East Baton Rouge Parish, LA",22033.0,36696.0,4049891.0
1132,"East Carroll Parish, LA",22035.0,645.0,45517.0
1133,"East Feliciana Parish, LA",22037.0,2459.0,196246.0
1134,"Evangeline Parish, LA",22039.0,5257.0,436459.0
1135,"Franklin Parish, LA",22041.0,3552.0,252346.0
1136,"Grant Parish, LA",22043.0,3122.0,315969.0
1137,"Iberia Parish, LA",22045.0,8655.0,854228.0
1138,"Iberville Parish, LA",22047.0,3213.0,296947.0
1139,"Jackson Parish, LA",22049.0,2459.0,199091.0
1140,"Jefferson Parish, LA",22051.0,58422.0,5512273.0
1141,"Jefferson Davis Parish, LA",22053.0,5224.0,458980.0
1142,"Lafayette Parish, LA",22055.0,21154.0,2775364.0
1143,"Lafourche Parish, LA",22057.0,12447.0,1407906.0
1144,"LaSalle Parish, LA",22059.0,2741.0,227371.0
1145,"Lincoln Parish, LA",22061.0,3895.0,465841.0
1146,"Livingston Parish, LA",22063.0,14775.0,1982930.0
1147,"Madison Parish, LA",22065.0,1203.0,84542.0
1148,"Morehouse Parish, LA",22067.0,4269.0,274767.0
1149,"Natchitoches Parish, LA",22069.0,4448.0,401873.0
1150,"Orleans Parish, LA",22071.0,23859.0,2317696.0
1151,"Ouachita Parish, LA",22073.0,18028.0,1712151.0
1152,"Plaquemines Parish, LA",22075.0,2614.0,325494.0
1153,"Pointe Coupee Parish, LA",22077.0,2756.0,253358.0
1154,"Rapides Parish, LA",22079.0,17215.0,1539232.0
1155,"Red River Parish, LA",22081.0,1331.0,97018.0
1156,"Richland Parish, LA",22083.0,2945.0,232884.0
1157,"Sabine Parish, LA",22085.0,4107.0,315530.0
1158,"St. Bernard Parish, LA",22087.0,7991.0,733987.0
1159,"St. Charles Parish, LA",22089.0,4841.0,664016.0
1160,"St. Helena Parish, LA",22091.0,1137.0,89416.0
1161,"St. James Parish, LA",22093.0,1723.0,192564.0
1162,"St. John the Baptist Parish, LA",22095.0,3538.0,380920.0
1163,"St. Landry Parish, LA",22097.0,10441.0,870689.0
1164,"St. Martin Parish, LA",22099.0,5283.0,619050.0
1165,"St. Mary Parish, LA",22101.0,6502.0,611259.0
1166,"St. Tammany Parish, LA",22103.0,29433.0,3475659.0
1167,"Tangipahoa Parish, LA",22105.0,14367.0,1425525.0
1168,"Tensas Parish, LA",22107.0,570.0,43292.0
1169,"Terrebonne Parish, LA",22109.0,13074.0,1458121.0
1170,"Union Parish, LA",22111.0,3437.0,293161.0
1171,"Vermilion Parish, LA",22113.0,8422.0,849180.0
1172,"Vernon Parish, LA",22115.0,5734.0,736036.0
1173,"Washington Parish, LA",22117.0,7382.0,558724.0
1174,"Webster Parish, LA",22119.0,6617.0,484186.0
1175,"West Baton Rouge Parish, LA",22121.0,1915.0,257501.0
1176,"West Carroll Parish, LA",22123.0,2251.0,174035.0
1177,"West Feliciana Parish, LA",22125.0,1120.0,143111.0
1178,"Winn Parish, LA",22127.0,2478.0,189606.0
1179,"Androscoggin County, ME",23001.0,18656.0,1837645.0
1180,"Aroostook County, ME",23003.0,15037.0,1253043.0
1181,"Cumberland County, ME",23005.0,43249.0,4767663.0
1182,"Franklin County, ME",23007.0,5224.0,536413.0
1183,"Hancock County, ME",23009.0,10023.0,947439.0
1184,"Kennebec County, ME",23011.0,21611.0,2119371.0
1185,"Knox County, ME",23013.0,7923.0,708325.0
1186,"Lincoln County, ME",23015.0,7070.0,608929.0
1187,"Oxford County, ME",23017.0,11044.0,1007844.0
1188,"Penobscot County, ME",23019.0,25525.0,2626807.0
1189,"Piscataquis County, ME",23021.0,3951.0,306318.0
1190,"Sagadahoc County, ME",23023.0,5822.0,622854.0
1191,"Somerset County, ME",23025.0,9614.0,912098.0
1192,"Waldo County, ME",23027.0,6404.0,678459.0
1193,"Washington County, ME",23029.0,7426.0,555662.0
1194,"York County, ME",23031.0,31019.0,3453260.0
1195,"Allegany County, MD",24001.0,16106.0,1222090.0
1196,"Anne Arundel County, MD",24003.0,58636.0,7592697.0
1197,"Baltimore County, MD",24005.0,114631.0,9894515.0
1198,"Calvert County, MD",24009.0,8948.0,1295819.0
1199,"Caroline County, MD",24011.0,4873.0,476743.0
1200,"Carroll County, MD",24013.0,23286.0,2792454.0
