,County,County Code,Deaths,Population
193,"Shasta County, CA",6089.0,243.0,43479.0
194,"Siskiyou County, CA",6093.0,142.0,14807.0
195,"Solano County, CA",6095.0,8052.0,1252427.0
196,"Sonoma County, CA",6097.0,765.0,195100.0
197,"Stanislaus County, CA",6099.0,1740.0,330919.0
198,"Sutter County, CA",6101.0,193.0,45360.0
199,"Tehama County, CA",6103.0,41.0,12095.0
200,"Tulare County, CA",6107.0,909.0,176836.0
201,"Tuolumne County, CA",6109.0,24.0,24129.0
202,"Ventura County, CA",6111.0,1643.0,370023.0
203,"Yolo County, CA",6113.0,542.0,111818.0
204,"Yuba County, CA",6115.0,293.0,58020.0
205,"Adams County, CO",8001.0,1135.0,298247.0
206,"Arapahoe County, CO",8005.0,3972.0,1087703.0
207,"Boulder County, CO",8013.0,169.0,67896.0
208,"Broomfield County, CO",8014.0,29.0,11762.0
209,"Denver County, CO",8031.0,10200.0,1240990.0
210,"Douglas County, CO",8035.0,166.0,74101.0
211,"Elbert County, CO",8039.0,11.0,4213.0
212,"El Paso County, CO",8041.0,3305.0,841413.0
213,"Fremont County, CO",8043.0,69.0,38913.0
214,"Garfield County, CO",8045.0,12.0,10799.0
215,"Huerfano County, CO",8055.0,10.0,2060.0
216,"Jefferson County, CO",8059.0,490.0,136918.0
217,"Larimer County, CO",8069.0,103.0,63987.0
218,"Logan County, CO",8075.0,12.0,13799.0
219,"Mesa County, CO",8077.0,71.0,25347.0
220,"Montrose County, CO",8085.0,12.0,5029.0
221,"Morgan County, CO",8087.0,13.0,12408.0
222,"Otero County, CO",8089.0,20.0,4495.0
223,"Pueblo County, CO",8101.0,485.0,72762.0
224,"Summit County, CO",8117.0,11.0,5408.0
225,"Weld County, CO",8123.0,92.0,57298.0
226,"Fairfield County, CT",9001.0,10609.0,1964619.0
227,"Hartford County, CT",9003.0,12208.0,2336454.0
228,"Litchfield County, CT",9005.0,289.0,59339.0
229,"Middlesex County, CT",9007.0,759.0,155958.0
230,"New Haven County, CT",9009.0,11917.0,2134330.0
231,"New London County, CT",9011.0,1532.0,353495.0
232,"Tolland County, CT",9013.0,221.0,97519.0
233,"Windham County, CT",9015.0,185.0,63250.0
234,"Kent County, DE",10001.0,4269.0,679250.0
235,"New Castle County, DE",10003.0,14790.0,2293980.0
236,"Sussex County, DE",10005.0,3800.0,479685.0
237,"District of Columbia, DC",11001.0,73355.0,5986925.0
238,"Alachua County, FL",12001.0,5991.0,899168.0
239,"Baker County, FL",12003.0,356.0,64141.0
240,"Bay County, FL",12005.0,2516.0,341278.0
241,"Bradford County, FL",12007.0,637.0,103435.0
242,"Brevard County, FL",12009.0,7027.0,983485.0
243,"Broward County, FL",12011.0,39818.0,8424435.0
244,"Calhoun County, FL",12013.0,266.0,37108.0
245,"Charlotte County, FL",12015.0,1328.0,166045.0
246,"Citrus County, FL",12017.0,622.0,72673.0
247,"Clay County, FL",12019.0,1337.0,317659.0
248,"Collier County, FL",12021.0,1408.0,379984.0
249,"Columbia County, FL",12023.0,1733.0,210296.0
250,"DeSoto County, FL",12027.0,583.0,81411.0
251,"Dixie County, FL",12029.0,151.0,25327.0
252,"Duval County, FL",12031.0,33343.0,4603935.0
253,"Escambia County, FL",12033.0,10583.0,1254392.0
254,"Flagler County, FL",12035.0,1553.0,166680.0
255,"Franklin County, FL",12037.0,217.0,27706.0
256,"Gadsden County, FL",12039.0,4338.0,468697.0
257,"Gilchrist County, FL",12041.0,86.0,16859.0
258,"Glades County, FL",12043.0,131.0,27601.0
259,"Gulf County, FL",12045.0,402.0,54151.0
260,"Hamilton County, FL",12047.0,702.0,92793.0
261,"Hardee County, FL",12049.0,272.0,40310.0
262,"Hendry County, FL",12051.0,839.0,96516.0
263,"Hernando County, FL",12053.0,1228.0,153639.0
264,"Highlands County, FL",12055.0,1388.0,175136.0
265,"Hillsborough County, FL",12057.0,22350.0,3678307.0
266,"Holmes County, FL",12059.0,149.0,23166.0
267,"Indian River County, FL",12061.0,1697.0,218599.0
268,"Jackson County, FL",12063.0,2202.0,236002.0
269,"Jefferson County, FL",12065.0,1031.0,93612.0
270,"Lafayette County, FL",12067.0,60.0,22433.0
271,"Lake County, FL",12069.0,3531.0,501019.0
272,"Lee County, FL",12071.0,5041.0,895216.0
273,"Leon County, FL",12073.0,7356.0,1485244.0
274,"Levy County, FL",12075.0,694.0,71062.0
275,"Liberty County, FL",12077.0,135.0,27058.0
276,"Madison County, FL",12079.0,1338.0,136104.0
277,"Manatee County, FL",12081.0,3572.0,524950.0
278,"Marion County, FL",12083.0,5914.0,716501.0
279,"Martin County, FL",12085.0,943.0,146944.0
280,"Miami-Dade County, FL",12086.0,61182.0,8958765.0
281,"Monroe County, FL",12087.0,621.0,84518.0
282,"Nassau County, FL",12089.0,898.0,86974.0
283,"Okaloosa County, FL",12091.0,1583.0,341696.0
284,"Okeechobee County, FL",12093.0,353.0,59903.0
285,"Orange County, FL",12095.0,21705.0,4325878.0
286,"Osceola County, FL",12097.0,2375.0,559721.0
287,"Palm Beach County, FL",12099.0,21687.0,4073844.0
288,"Pasco County, FL",12101.0,1740.0,351613.0
289,"Pinellas County, FL",12103.0,13558.0,1755287.0
290,"Polk County, FL",12105.0,11193.0,1583748.0
291,"Putnam County, FL",12107.0,2272.0,224496.0
292,"St. Johns County, FL",12109.0,1575.0,191368.0
293,"St. Lucie County, FL",12111.0,6015.0,874968.0
294,"Santa Rosa County, FL",12113.0,677.0,153326.0
295,"Sarasota County, FL",12115.0,2614.0,325904.0
296,"Seminole County, FL",12117.0,5106.0,864431.0
297,"Sumter County, FL",12119.0,1003.0,160408.0
298,"Suwannee County, FL",12121.0,818.0,90629.0
299,"Taylor County, FL",12123.0,616.0,78336.0
300,"Union County, FL",12125.0,746.0,61755.0
301,"Volusia County, FL",12127.0,7121.0,945671.0
302,"Wakulla County, FL",12129.0,382.0,69871.0
303,"Walton County, FL",12131.0,429.0,60356.0
304,"Washington County, FL",12133.0,518.0,63435.0
305,"Appling County, GA",13001.0,611.0,63536.0
306,"Atkinson County, GA",13003.0,267.0,28081.0
307,"Bacon County, GA",13005.0,280.0,31760.0
308,"Baker County, GA",13007.0,279.0,32362.0
309,"Baldwin County, GA",13009.0,2463.0,353516.0
310,"Banks County, GA",13011.0,66.0,9197.0
311,"Barrow County, GA",13013.0,828.0,129085.0
312,"Bartow County, GA",13015.0,1158.0,172974.0
313,"Ben Hill County, GA",13017.0,1036.0,108874.0
314,"Berrien County, GA",13019.0,337.0,37244.0
315,"Bibb County, GA",13021.0,12931.0,1436423.0
316,"Bleckley County, GA",13023.0,471.0,60040.0
317,"Brantley County, GA",13025.0,96.0,11177.0
318,"Brooks County, GA",13027.0,1136.0,106803.0
319,"Bryan County, GA",13029.0,527.0,78614.0
320,"Bulloch County, GA",13031.0,2125.0,344268.0
321,"Burke County, GA",13033.0,1957.0,206008.0
322,"Butts County, GA",13035.0,886.0,114814.0
323,"Calhoun County, GA",13037.0,636.0,71761.0
324,"Camden County, GA",13039.0,1019.0,179109.0
325,"Candler County, GA",13043.0,647.0,48194.0
326,"Carroll County, GA",13045.0,2146.0,345252.0
327,"Catoosa County, GA",13047.0,96.0,26694.0
328,"Charlton County, GA",13049.0,399.0,66850.0
329,"Chatham County, GA",13051.0,15606.0,1910007.0
330,"Chattahoochee County, GA",13053.0,208.0,60806.0
331,"Chattooga County, GA",13055.0,380.0,51534.0
332,"Cherokee County, GA",13057.0,657.0,197314.0
333,"Clarke County, GA",13059.0,3898.0,564584.0
334,"Clay County, GA",13061.0,428.0,35299.0
335,"Clayton County, GA",13063.0,11172.0,3024187.0
336,"Clinch County, GA",13065.0,350.0,35980.0
337,"Cobb County, GA",13067.0,9743.0,2988518.0
338,"Coffee County, GA",13069.0,1404.0,203171.0
339,"Colquitt County, GA",13071.0,1709.0,187900.0
340,"Columbia County, GA",13073.0,1524.0,321280.0
341,"Cook County, GA",13075.0,720.0,85018.0
342,"Coweta County, GA",13077.0,2693.0,379079.0
343,"Crawford County, GA",13079.0,484.0,53042.0
344,"Crisp County, GA",13081.0,1672.0,180838.0
345,"Dade County, GA",13083.0,33.0,3163.0
346,"Dawson County, GA",13085.0,11.0,2952.0
347,"Decatur County, GA",13087.0,1954.0,206877.0
348,"DeKalb County, GA",13089.0,35785.0,6955595.0
349,"Dodge County, GA",13091.0,919.0,112541.0
350,"Dooly County, GA",13093.0,915.0,122034.0
351,"Dougherty County, GA",13095.0,8131.0,1115042.0
352,"Douglas County, GA",13097.0,2748.0,782113.0
353,"Early County, GA",13099.0,1085.0,101671.0
354,"Echols County, GA",13101.0,31.0,4164.0
355,"Effingham County, GA",13103.0,748.0,120243.0
356,"Elbert County, GA",13105.0,1137.0,110513.0
357,"Emanuel County, GA",13107.0,1318.0,135868.0
358,"Evans County, GA",13109.0,572.0,62358.0
359,"Fannin County, GA",13111.0,41.0,2082.0
360,"Fayette County, GA",13113.0,1500.0,344708.0
361,"Floyd County, GA",13115.0,2196.0,247749.0
362,"Forsyth County, GA",13117.0,174.0,78938.0
363,"Franklin County, GA",13119.0,386.0,36034.0
364,"Fulton County, GA",13121.0,59087.0,7251018.0
365,"Gilmer County, GA",13123.0,13.0,3923.0
366,"Glascock County, GA",13125.0,75.0,4741.0
367,"Glynn County, GA",13127.0,3233.0,368761.0
368,"Gordon County, GA",13129.0,298.0,39187.0
369,"Grady County, GA",13131.0,1265.0,133523.0
370,"Greene County, GA",13133.0,1104.0,112720.0
371,"Gwinnett County, GA",13135.0,8090.0,3089986.0
372,"Habersham County, GA",13137.0,146.0,30121.0
373,"Hall County, GA",13139.0,1600.0,242341.0
374,"Hancock County, GA",13141.0,1241.0,128354.0
375,"Haralson County, GA",13143.0,262.0,26623.0
376,"Harris County, GA",13145.0,949.0,96948.0
377,"Hart County, GA",13147.0,705.0,85050.0
378,"Heard County, GA",13149.0,241.0,22099.0
379,"Henry County, GA",13151.0,4191.0,1078908.0
380,"Houston County, GA",13153.0,3430.0,684151.0
381,"Irwin County, GA",13155.0,469.0,45829.0
382,"Jackson County, GA",13157.0,621.0,74400.0
383,"Jasper County, GA",13159.0,542.0,55423.0
384,"Jeff Davis County, GA",13161.0,423.0,39218.0
385,"Jefferson County, GA",13163.0,1922.0,167495.0
386,"Jenkins County, GA",13165.0,651.0,65049.0
387,"Johnson County, GA",13167.0,476.0,62190.0
388,"Jones County, GA",13169.0,883.0,120117.0
389,"Lamar County, GA",13171.0,850.0,97957.0
390,"Lanier County, GA",13173.0,311.0,40028.0
391,"Laurens County, GA",13175.0,2923.0,304814.0
392,"Lee County, GA",13177.0,513.0,90613.0
393,"Liberty County, GA",13179.0,2261.0,511596.0
394,"Lincoln County, GA",13181.0,497.0,47739.0
395,"Long County, GA",13183.0,292.0,64319.0
396,"Lowndes County, GA",13185.0,4724.0,674314.0
397,"Lumpkin County, GA",13187.0,47.0,8575.0
398,"McDuffie County, GA",13189.0,1490.0,154646.0
399,"McIntosh County, GA",13191.0,689.0,85289.0
400,"Macon County, GA",13193.0,1507.0,154956.0
401,"Madison County, GA",13195.0,407.0,43456.0
402,"Marion County, GA",13197.0,512.0,49450.0
403,"Meriwether County, GA",13199.0,1631.0,162677.0
404,"Miller County, GA",13201.0,367.0,31746.0
405,"Mitchell County, GA",13205.0,1745.0,204097.0
406,"Monroe County, GA",13207.0,1101.0,113919.0
407,"Montgomery County, GA",13209.0,310.0,43638.0
408,"Morgan County, GA",13211.0,808.0,78499.0
409,"Murray County, GA",13213.0,31.0,7857.0
410,"Muscogee County, GA",13215.0,13070.0,1601939.0
411,"Newton County, GA",13217.0,3141.0,601484.0
412,"Oconee County, GA",13219.0,232.0,30893.0
413,"Oglethorpe County, GA",13221.0,455.0,47620.0
414,"Paulding County, GA",13223.0,975.0,347283.0
415,"Peach County, GA",13225.0,1825.0,212727.0
416,"Pickens County, GA",13227.0,65.0,6902.0
417,"Pierce County, GA",13229.0,325.0,30954.0
418,"Pike County, GA",13231.0,423.0,35713.0
419,"Polk County, GA",13233.0,950.0,97003.0
420,"Pulaski County, GA",13235.0,621.0,64745.0
421,"Putnam County, GA",13237.0,920.0,103849.0
422,"Quitman County, GA",13239.0,202.0,21665.0
423,"Rabun County, GA",13241.0,32.0,4003.0
424,"Randolph County, GA",13243.0,942.0,84167.0
425,"Richmond County, GA",13245.0,15394.0,1966612.0
426,"Rockdale County, GA",13247.0,2434.0,585533.0
427,"Schley County, GA",13249.0,219.0,20555.0
428,"Screven County, GA",13251.0,1196.0,117216.0
429,"Seminole County, GA",13253.0,574.0,55223.0
430,"Spalding County, GA",13255.0,3004.0,369355.0
431,"Stephens County, GA",13257.0,630.0,55364.0
432,"Stewart County, GA",13259.0,736.0,56865.0
433,"Sumter County, GA",13261.0,2561.0,302704.0
434,"Talbot County, GA",13263.0,837.0,71611.0
435,"Taliaferro County, GA",13265.0,254.0,19822.0
436,"Tattnall County, GA",13267.0,858.0,130408.0
437,"Taylor County, GA",13269.0,667.0,63602.0
438,"Telfair County, GA",13271.0,797.0,102439.0
439,"Terrell County, GA",13273.0,1124.0,109811.0
440,"Thomas County, GA",13275.0,3018.0,300468.0
441,"Tift County, GA",13277.0,1703.0,210091.0
442,"Toombs County, GA",13279.0,1223.0,123363.0
443,"Treutlen County, GA",13283.0,359.0,40582.0
444,"Troup County, GA",13285.0,3368.0,397646.0
445,"Turner County, GA",13287.0,577.0,66427.0
446,"Twiggs County, GA",13289.0,776.0,72845.0
447,"Union County, GA",13291.0,13.0,2677.0
448,"Upson County, GA",13293.0,1465.0,138659.0
449,"Walker County, GA",13295.0,451.0,52159.0
450,"Walton County, GA",13297.0,1638.0,221578.0
451,"Ware County, GA",13299.0,1802.0,188783.0
452,"Warren County, GA",13301.0,745.0,65099.0
453,"Washington County, GA",13303.0,1877.0,202018.0
454,"Wayne County, GA",13305.0,856.0,107671.0
455,"Webster County, GA",13307.0,203.0,21151.0
456,"Wheeler County, GA",13309.0,263.0,46587.0
457,"White County, GA",13311.0,77.0,10231.0
458,"Whitfield County, GA",13313.0,534.0,75309.0
459,"Wilcox County, GA",13315.0,486.0,57997.0
460,"Wilkes County, GA",13317.0,1037.0,81853.0
461,"Wilkinson County, GA",13319.0,688.0,69864.0
462,"Worth County, GA",13321.0,933.0,113251.0
463,"Hawaii County, HI",15001.0,153.0,40933.0
464,"Honolulu County, HI",15003.0,1233.0,551267.0
465,"Kauai County, HI",15007.0,40.0,11939.0
466,"Maui County, HI",15009.0,101.0,30610.0
467,"Ada County, ID",16001.0,181.0,91978.0
468,"Bannock County, ID",16005.0,76.0,15155.0
469,"Bonneville County, ID",16019.0,40.0,15463.0
470,"Canyon County, ID",16027.0,58.0,28033.0
471,"Elmore County, ID",16039.0,49.0,18011.0
472,"Kootenai County, ID",16055.0,17.0,12341.0
473,"Twin Falls County, ID",16083.0,17.0,9004.0
474,"Adams County, IL",17001.0,308.0,48765.0
475,"Alexander County, IL",17003.0,561.0,54676.0
476,"Bond County, IL",17005.0,102.0,22508.0
477,"Boone County, IL",17007.0,59.0,21447.0
478,"Brown County, IL",17009.0,12.0,23414.0
479,"Bureau County, IL",17011.0,15.0,5827.0
480,"Carroll County, IL",17015.0,18.0,3146.0
481,"Champaign County, IL",17019.0,2556.0,455628.0
482,"Christian County, IL",17021.0,24.0,12463.0
483,"Clinton County, IL",17027.0,84.0,26601.0
484,"Coles County, IL",17029.0,102.0,36361.0
485,"Cook County, IL",17031.0,226746.0,24515193.0
486,"Crawford County, IL",17033.0,16.0,17909.0
487,"DeKalb County, IL",17037.0,221.0,116681.0
488,"De Witt County, IL",17039.0,11.0,2693.0
489,"Douglas County, IL",17041.0,11.0,2417.0
490,"DuPage County, IL",17043.0,2487.0,771799.0
491,"Edgar County, IL",17045.0,15.0,3495.0
492,"Fayette County, IL",17051.0,15.0,18967.0
493,"Franklin County, IL",17055.0,10.0,3784.0
494,"Fulton County, IL",17057.0,40.0,26040.0
495,"Grundy County, IL",17063.0,18.0,10556.0
496,"Henry County, IL",17073.0,95.0,17186.0
497,"Iroquois County, IL",17075.0,75.0,6219.0
498,"Jackson County, IL",17077.0,811.0,158311.0
499,"Jefferson County, IL",17081.0,401.0,63505.0
500,"Johnson County, IL",17087.0,23.0,24791.0
501,"Kane County, IL",17089.0,2639.0,545733.0
502,"Kankakee County, IL",17091.0,2479.0,317302.0
503,"Kendall County, IL",17093.0,220.0,91938.0
504,"Knox County, IL",17095.0,439.0,77382.0
505,"Lake County, IL",17097.0,4975.0,934308.0
506,"LaSalle County, IL",17099.0,141.0,46383.0
507,"Lawrence County, IL",17101.0,62.0,22677.0
508,"Lee County, IL",17103.0,156.0,33795.0
509,"Livingston County, IL",17105.0,66.0,36343.0
510,"Logan County, IL",17107.0,70.0,42871.0
511,"McDonough County, IL",17109.0,57.0,29657.0
512,"McHenry County, IL",17111.0,165.0,67666.0
513,"McLean County, IL",17113.0,832.0,231222.0
514,"Macon County, IL",17115.0,2372.0,334835.0
515,"Macoupin County, IL",17117.0,66.0,8985.0
516,"Madison County, IL",17119.0,3002.0,394742.0
517,"Marion County, IL",17121.0,311.0,32416.0
518,"Massac County, IL",17127.0,204.0,17601.0
519,"Montgomery County, IL",17135.0,50.0,19538.0
520,"Morgan County, IL",17137.0,218.0,42278.0
521,"Moultrie County, IL",17139.0,10.0,1288.0
522,"Ogle County, IL",17141.0,20.0,10542.0
523,"Peoria County, IL",17143.0,3955.0,616215.0
524,"Perry County, IL",17145.0,104.0,36152.0
525,"Pulaski County, IL",17153.0,443.0,38285.0
526,"Randolph County, IL",17157.0,187.0,60938.0
527,"Rock Island County, IL",17161.0,1578.0,257157.0
528,"St. Clair County, IL",17163.0,12487.0,1452890.0
529,"Saline County, IL",17165.0,221.0,21174.0
530,"Sangamon County, IL",17167.0,2675.0,422698.0
531,"Stephenson County, IL",17177.0,507.0,83385.0
532,"Tazewell County, IL",17179.0,89.0,30992.0
533,"Union County, IL",17181.0,45.0,4160.0
534,"Vermilion County, IL",17183.0,1432.0,192612.0
535,"Warren County, IL",17187.0,45.0,8213.0
536,"Washington County, IL",17189.0,12.0,2262.0
537,"Whiteside County, IL",17195.0,66.0,20152.0
538,"Will County, IL",17197.0,5893.0,1302163.0
539,"Williamson County, IL",17199.0,225.0,47115.0
540,"Winnebago County, IL",17201.0,4268.0,659860.0
541,"Woodford County, IL",17203.0,10.0,4788.0
542,"Allen County, IN",18003.0,5119.0,803983.0
543,"Bartholomew County, IN",18005.0,169.0,33085.0
544,"Boone County, IN",18011.0,66.0,11776.0
545,"Cass County, IN",18017.0,64.0,14294.0
546,"Clark County, IN",18019.0,1116.0,149029.0
547,"Clay County, IN",18021.0,22.0,3078.0
548,"Clinton County, IN",18023.0,14.0,3880.0
549,"Crawford County, IN",18025.0,11.0,978.0
550,"Daviess County, IN",18027.0,37.0,5656.0
551,"Dearborn County, IN",18029.0,46.0,7650.0
552,"Decatur County, IN",18031.0,10.0,2098.0
553,"De Kalb County, IN",18033.0,19.0,4499.0
554,"Delaware County, IN",18035.0,1296.0,159685.0
555,"Dubois County, IN",18037.0,10.0,4430.0
556,"Elkhart County, IN",18039.0,1214.0,225165.0
557,"Fayette County, IN",18041.0,90.0,8044.0
558,"Floyd County, IN",18043.0,580.0,74744.0
559,"Fulton County, IN",18049.0,30.0,4027.0
560,"Gibson County, IN",18051.0,114.0,15125.0
561,"Grant County, IN",18053.0,825.0,101978.0
562,"Hamilton County, IN",18057.0,433.0,162322.0
563,"Hancock County, IN",18059.0,74.0,22872.0
564,"Harrison County, IN",18061.0,41.0,4703.0
565,"Hendricks County, IN",18063.0,234.0,112165.0
566,"Henry County, IN",18065.0,102.0,18517.0
567,"Howard County, IN",18067.0,838.0,115786.0
568,"Huntington County, IN",18069.0,12.0,4265.0
569,"Jackson County, IN",18071.0,36.0,7930.0
570,"Jay County, IN",18075.0,11.0,1784.0
571,"Jefferson County, IN",18077.0,96.0,12559.0
572,"Jennings County, IN",18079.0,49.0,5327.0
573,"Johnson County, IN",18081.0,103.0,36953.0
574,"Knox County, IN",18083.0,57.0,19414.0
575,"Kosciusko County, IN",18085.0,52.0,14877.0
576,"Lake County, IN",18089.0,22033.0,2314537.0
577,"La Porte County, IN",18091.0,1347.0,229100.0
578,"Lawrence County, IN",18093.0,36.0,4903.0
579,"Madison County, IN",18095.0,1500.0,207325.0
580,"Marion County, IN",18097.0,33634.0,4414733.0
581,"Marshall County, IN",18099.0,24.0,6868.0
582,"Miami County, IN",18103.0,102.0,30723.0
583,"Monroe County, IN",18105.0,238.0,89773.0
584,"Montgomery County, IN",18107.0,37.0,8319.0
585,"Morgan County, IN",18109.0,22.0,5218.0
586,"Orange County, IN",18117.0,23.0,4067.0
587,"Owen County, IN",18119.0,12.0,2007.0
588,"Parke County, IN",18121.0,13.0,7686.0
589,"Porter County, IN",18127.0,258.0,80670.0
590,"Posey County, IN",18129.0,48.0,5873.0
591,"Pulaski County, IN",18131.0,14.0,2115.0
