,County,County Code,Deaths,Population
428,"West Baton Rouge Parish, LA",22121.0,32.0,2373.0
429,"West Feliciana Parish, LA",22125.0,12.0,994.0
430,"Winn Parish, LA",22127.0,19.0,1174.0
431,"Androscoggin County, ME",23001.0,13.0,2069.0
432,"Cumberland County, ME",23005.0,29.0,4079.0
433,"Anne Arundel County, MD",24003.0,302.0,22188.0
434,"Baltimore County, MD",24005.0,639.0,54617.0
435,"Calvert County, MD",24009.0,23.0,2493.0
436,"Caroline County, MD",24011.0,23.0,1307.0
437,"Carroll County, MD",24013.0,15.0,1136.0
438,"Cecil County, MD",24015.0,20.0,1716.0
439,"Charles County, MD",24017.0,140.0,14113.0
440,"Dorchester County, MD",24019.0,42.0,2630.0
441,"Frederick County, MD",24021.0,57.0,6012.0
442,"Harford County, MD",24025.0,82.0,8372.0
443,"Howard County, MD",24027.0,122.0,12565.0
444,"Kent County, MD",24029.0,14.0,796.0
445,"Montgomery County, MD",24031.0,497.0,54262.0
446,"Prince George's County, MD",24033.0,1719.0,147951.0
447,"Queen Anne's County, MD",24035.0,10.0,849.0
448,"St. Mary's County, MD",24037.0,64.0,4214.0
449,"Somerset County, MD",24039.0,30.0,1847.0
450,"Talbot County, MD",24041.0,15.0,1052.0
451,"Washington County, MD",24043.0,45.0,4104.0
452,"Wicomico County, MD",24045.0,117.0,7531.0
453,"Worcester County, MD",24047.0,32.0,1923.0
454,"Baltimore city, MD",24510.0,1615.0,107284.0
455,"Barnstable County, MA",25001.0,24.0,1957.0
456,"Berkshire County, MA",25003.0,15.0,1560.0
457,"Bristol County, MA",25005.0,73.0,9613.0
458,"Essex County, MA",25009.0,78.0,21191.0
459,"Hampden County, MA",25013.0,133.0,14497.0
460,"Middlesex County, MA",25017.0,164.0,23390.0
461,"Norfolk County, MA",25021.0,76.0,10336.0
462,"Plymouth County, MA",25023.0,108.0,15711.0
463,"Suffolk County, MA",25025.0,467.0,54841.0
464,"Worcester County, MA",25027.0,151.0,13294.0
465,"Berrien County, MI",26021.0,149.0,9474.0
466,"Calhoun County, MI",26025.0,81.0,5705.0
467,"Eaton County, MI",26045.0,24.0,1909.0
468,"Genesee County, MI",26049.0,513.0,29296.0
469,"Ingham County, MI",26065.0,167.0,13091.0
470,"Jackson County, MI",26075.0,70.0,4720.0
471,"Kalamazoo County, MI",26077.0,160.0,11593.0
472,"Kent County, MI",26081.0,334.0,24686.0
473,"Macomb County, MI",26099.0,246.0,20004.0
474,"Monroe County, MI",26115.0,16.0,1343.0
475,"Muskegon County, MI",26121.0,119.0,8970.0
476,"Oakland County, MI",26125.0,563.0,37065.0
477,"Ottawa County, MI",26139.0,13.0,1766.0
478,"Saginaw County, MI",26145.0,213.0,13122.0
479,"St. Clair County, MI",26147.0,22.0,1854.0
480,"St. Joseph County, MI",26149.0,15.0,954.0
481,"Van Buren County, MI",26159.0,16.0,1202.0
482,"Washtenaw County, MI",26161.0,157.0,13085.0
483,"Wayne County, MI",26163.0,3377.0,212522.0
484,"Anoka County, MN",27003.0,51.0,6564.0
485,"Blue Earth County, MN",27013.0,11.0,884.0
486,"Dakota County, MN",27037.0,81.0,9568.0
487,"Hennepin County, MN",27053.0,592.0,65062.0
488,"Olmsted County, MN",27109.0,25.0,3764.0
489,"Ramsey County, MN",27123.0,277.0,28100.0
490,"Rice County, MN",27131.0,11.0,834.0
491,"St. Louis County, MN",27137.0,17.0,1483.0
492,"Scott County, MN",27139.0,13.0,1510.0
493,"Stearns County, MN",27145.0,29.0,2403.0
494,"Washington County, MN",27163.0,20.0,3353.0
495,"Adams County, MS",28001.0,68.0,4878.0
496,"Alcorn County, MS",28003.0,27.0,1390.0
497,"Amite County, MS",28005.0,18.0,1425.0
498,"Attala County, MS",28007.0,35.0,2291.0
499,"Benton County, MS",28009.0,10.0,818.0
500,"Bolivar County, MS",28011.0,104.0,7341.0
501,"Calhoun County, MS",28013.0,20.0,1164.0
502,"Chickasaw County, MS",28017.0,33.0,2257.0
503,"Choctaw County, MS",28019.0,19.0,775.0
504,"Claiborne County, MS",28021.0,30.0,2291.0
505,"Clarke County, MS",28023.0,24.0,1445.0
506,"Clay County, MS",28025.0,61.0,3319.0
507,"Coahoma County, MS",28027.0,114.0,7215.0
508,"Copiah County, MS",28029.0,71.0,4404.0
509,"Covington County, MS",28031.0,34.0,2134.0
510,"DeSoto County, MS",28033.0,97.0,7677.0
511,"Forrest County, MS",28035.0,136.0,8476.0
512,"Franklin County, MS",28037.0,13.0,769.0
513,"Grenada County, MS",28043.0,44.0,2395.0
514,"Harrison County, MS",28047.0,195.0,14689.0
515,"Hinds County, MS",28049.0,702.0,48598.0
516,"Holmes County, MS",28051.0,76.0,5436.0
517,"Humphreys County, MS",28053.0,44.0,2521.0
518,"Jackson County, MS",28059.0,96.0,8246.0
519,"Jasper County, MS",28061.0,32.0,2374.0
520,"Jefferson County, MS",28063.0,31.0,1886.0
521,"Jefferson Davis County, MS",28065.0,24.0,1951.0
522,"Jones County, MS",28067.0,84.0,6399.0
523,"Kemper County, MS",28069.0,20.0,1482.0
524,"Lafayette County, MS",28071.0,46.0,2997.0
525,"Lamar County, MS",28073.0,28.0,3004.0
526,"Lauderdale County, MS",28075.0,150.0,9802.0
527,"Lawrence County, MS",28077.0,20.0,1092.0
528,"Leake County, MS",28079.0,29.0,2359.0
529,"Lee County, MS",28081.0,124.0,7049.0
530,"Leflore County, MS",28083.0,107.0,7362.0
531,"Lincoln County, MS",28085.0,37.0,2811.0
532,"Lowndes County, MS",28087.0,105.0,7388.0
533,"Madison County, MS",28089.0,136.0,9856.0
534,"Marion County, MS",28091.0,39.0,2481.0
535,"Marshall County, MS",28093.0,52.0,4348.0
536,"Monroe County, MS",28095.0,38.0,2976.0
537,"Montgomery County, MS",28097.0,30.0,1489.0
538,"Neshoba County, MS",28099.0,24.0,1882.0
539,"Newton County, MS",28101.0,32.0,1812.0
540,"Noxubee County, MS",28103.0,50.0,2395.0
541,"Oktibbeha County, MS",28105.0,71.0,4537.0
542,"Panola County, MS",28107.0,78.0,5550.0
543,"Pearl River County, MS",28109.0,32.0,1898.0
544,"Perry County, MS",28111.0,14.0,658.0
545,"Pike County, MS",28113.0,91.0,6604.0
546,"Pontotoc County, MS",28115.0,12.0,1144.0
547,"Quitman County, MS",28119.0,27.0,1781.0
548,"Rankin County, MS",28121.0,75.0,6180.0
549,"Scott County, MS",28123.0,52.0,3386.0
550,"Sharkey County, MS",28125.0,11.0,1247.0
551,"Simpson County, MS",28127.0,48.0,2678.0
552,"Smith County, MS",28129.0,17.0,1145.0
553,"Stone County, MS",28131.0,15.0,833.0
554,"Sunflower County, MS",28133.0,98.0,6298.0
555,"Tallahatchie County, MS",28135.0,38.0,2507.0
556,"Tate County, MS",28137.0,30.0,2345.0
557,"Tippah County, MS",28139.0,10.0,1004.0
558,"Tunica County, MS",28143.0,51.0,2843.0
559,"Union County, MS",28145.0,17.0,1210.0
560,"Walthall County, MS",28147.0,27.0,2134.0
561,"Warren County, MS",28149.0,77.0,7024.0
562,"Washington County, MS",28151.0,169.0,12136.0
563,"Wayne County, MS",28153.0,29.0,2554.0
564,"Webster County, MS",28155.0,16.0,572.0
565,"Wilkinson County, MS",28157.0,19.0,1762.0
566,"Winston County, MS",28159.0,39.0,2581.0
567,"Yalobusha County, MS",28161.0,17.0,1371.0
568,"Yazoo County, MS",28163.0,65.0,4951.0
569,"Boone County, MO",29019.0,65.0,5795.0
570,"Buchanan County, MO",29021.0,22.0,1897.0
571,"Butler County, MO",29023.0,20.0,1056.0
572,"Cape Girardeau County, MO",29031.0,27.0,2384.0
573,"Cass County, MO",29037.0,13.0,881.0
574,"Clay County, MO",29047.0,31.0,4328.0
575,"Cole County, MO",29051.0,36.0,2811.0
576,"Dunklin County, MO",29069.0,26.0,1536.0
577,"Greene County, MO",29077.0,51.0,3768.0
578,"Jackson County, MO",29095.0,629.0,53108.0
579,"Jefferson County, MO",29099.0,10.0,894.0
580,"Mississippi County, MO",29133.0,12.0,1025.0
581,"New Madrid County, MO",29143.0,18.0,1061.0
582,"Pemiscot County, MO",29155.0,40.0,2342.0
583,"Platte County, MO",29165.0,13.0,1786.0
584,"Pulaski County, MO",29169.0,24.0,1863.0
585,"St. Charles County, MO",29183.0,53.0,4466.0
586,"St. Louis County, MO",29189.0,956.0,63525.0
587,"Scott County, MO",29201.0,29.0,1875.0
588,"St. Louis city, MO",29510.0,819.0,51278.0
589,"Douglas County, NE",31055.0,309.0,24430.0
590,"Lancaster County, NE",31109.0,44.0,5654.0
591,"Sarpy County, NE",31153.0,16.0,3041.0
592,"Clark County, NV",32003.0,742.0,69013.0
593,"Washoe County, NV",32031.0,45.0,4528.0
594,"Hillsborough County, NH",33011.0,28.0,3946.0
595,"Strafford County, NH",33017.0,10.0,734.0
596,"Atlantic County, NJ",34001.0,221.0,14112.0
597,"Bergen County, NJ",34003.0,103.0,14120.0
598,"Burlington County, NJ",34005.0,168.0,17515.0
599,"Camden County, NJ",34007.0,513.0,30756.0
600,"Cape May County, NJ",34009.0,28.0,1598.0
601,"Cumberland County, NJ",34011.0,136.0,9297.0
602,"Essex County, NJ",34013.0,1079.0,93366.0
603,"Gloucester County, NJ",34015.0,96.0,7304.0
604,"Hudson County, NJ",34017.0,314.0,32379.0
605,"Mercer County, NJ",34021.0,333.0,21393.0
606,"Middlesex County, NJ",34023.0,177.0,24017.0
607,"Monmouth County, NJ",34025.0,133.0,12513.0
608,"Morris County, NJ",34027.0,28.0,3368.0
609,"Ocean County, NJ",34029.0,52.0,5369.0
610,"Passaic County, NJ",34031.0,190.0,27039.0
611,"Salem County, NJ",34033.0,37.0,2755.0
612,"Somerset County, NJ",34035.0,59.0,7470.0
613,"Union County, NJ",34039.0,294.0,30956.0
614,"Warren County, NJ",34041.0,20.0,1024.0
615,"Bernalillo County, NM",35001.0,62.0,8235.0
616,"Curry County, NM",35009.0,18.0,1628.0
617,"Dona Ana County, NM",35013.0,13.0,1485.0
618,"Otero County, NM",35035.0,12.0,1189.0
619,"Albany County, NY",36001.0,205.0,12860.0
620,"Bronx County, NY",36005.0,1198.0,187554.0
621,"Broome County, NY",36007.0,42.0,4030.0
622,"Cayuga County, NY",36011.0,10.0,850.0
623,"Chemung County, NY",36015.0,16.0,1877.0
624,"Columbia County, NY",36021.0,16.0,1016.0
625,"Dutchess County, NY",36027.0,78.0,7521.0
626,"Erie County, NY",36029.0,592.0,38532.0
627,"Jefferson County, NY",36045.0,40.0,3488.0
628,"Kings County, NY",36047.0,2065.0,240509.0
629,"Monroe County, NY",36055.0,500.0,38078.0
630,"Nassau County, NY",36059.0,386.0,35150.0
631,"New York County, NY",36061.0,542.0,76182.0
632,"Niagara County, NY",36063.0,89.0,5351.0
633,"Oneida County, NY",36065.0,81.0,5494.0
634,"Onondaga County, NY",36067.0,271.0,20510.0
635,"Orange County, NY",36071.0,116.0,10486.0
636,"Queens County, NY",36081.0,1018.0,114694.0
637,"Rensselaer County, NY",36083.0,47.0,4108.0
638,"Richmond County, NY",36085.0,154.0,16176.0
639,"Rockland County, NY",36087.0,76.0,9484.0
640,"Schenectady County, NY",36093.0,76.0,6261.0
641,"Suffolk County, NY",36103.0,286.0,31688.0
642,"Sullivan County, NY",36105.0,18.0,2038.0
643,"Ulster County, NY",36111.0,35.0,3317.0
644,"Wayne County, NY",36117.0,10.0,1108.0
645,"Westchester County, NY",36119.0,352.0,34998.0
646,"Alamance County, NC",37001.0,120.0,7513.0
647,"Anson County, NC",37007.0,48.0,3076.0
648,"Beaufort County, NC",37013.0,46.0,3481.0
649,"Bertie County, NC",37015.0,51.0,2800.0
650,"Bladen County, NC",37017.0,47.0,2617.0
651,"Brunswick County, NC",37019.0,26.0,2750.0
652,"Buncombe County, NC",37021.0,68.0,4883.0
653,"Burke County, NC",37023.0,11.0,1172.0
654,"Cabarrus County, NC",37025.0,79.0,7196.0
655,"Caldwell County, NC",37027.0,12.0,1127.0
656,"Carteret County, NC",37031.0,17.0,1207.0
657,"Caswell County, NC",37033.0,16.0,1274.0
658,"Catawba County, NC",37035.0,58.0,4042.0
659,"Chatham County, NC",37037.0,17.0,1569.0
660,"Chowan County, NC",37041.0,15.0,1364.0
661,"Cleveland County, NC",37045.0,89.0,5745.0
662,"Columbus County, NC",37047.0,74.0,4283.0
663,"Craven County, NC",37049.0,85.0,6909.0
664,"Cumberland County, NC",37051.0,580.0,38043.0
665,"Davidson County, NC",37057.0,53.0,3732.0
666,"Duplin County, NC",37061.0,46.0,3477.0
667,"Durham County, NC",37063.0,343.0,26996.0
668,"Edgecombe County, NC",37065.0,115.0,8104.0
669,"Forsyth County, NC",37067.0,399.0,24815.0
670,"Franklin County, NC",37069.0,51.0,3435.0
671,"Gaston County, NC",37071.0,140.0,9026.0
672,"Granville County, NC",37077.0,31.0,3424.0
673,"Greene County, NC",37079.0,28.0,1769.0
674,"Guilford County, NC",37081.0,605.0,42258.0
675,"Halifax County, NC",37083.0,110.0,6977.0
676,"Harnett County, NC",37085.0,109.0,6797.0
677,"Hertford County, NC",37091.0,66.0,3221.0
678,"Hoke County, NC",37093.0,51.0,4449.0
679,"Iredell County, NC",37097.0,86.0,5416.0
680,"Johnston County, NC",37101.0,83.0,6686.0
681,"Jones County, NC",37103.0,12.0,582.0
682,"Lee County, NC",37105.0,39.0,3474.0
683,"Lenoir County, NC",37107.0,93.0,6047.0
684,"Lincoln County, NC",37109.0,26.0,1091.0
685,"Martin County, NC",37117.0,27.0,2354.0
686,"Mecklenburg County, NC",37119.0,919.0,76836.0
687,"Montgomery County, NC",37123.0,27.0,1376.0
688,"Moore County, NC",37125.0,39.0,3268.0
689,"Nash County, NC",37127.0,136.0,8590.0
690,"New Hanover County, NC",37129.0,73.0,8901.0
691,"Northampton County, NC",37131.0,46.0,2723.0
692,"Onslow County, NC",37133.0,162.0,11726.0
693,"Orange County, NC",37135.0,47.0,3701.0
694,"Pasquotank County, NC",37139.0,51.0,3706.0
695,"Pender County, NC",37141.0,31.0,1992.0
696,"Perquimans County, NC",37143.0,13.0,633.0
697,"Person County, NC",37145.0,46.0,2522.0
698,"Pitt County, NC",37147.0,279.0,16412.0
699,"Randolph County, NC",37151.0,25.0,2287.0
700,"Richmond County, NC",37153.0,64.0,3772.0
701,"Robeson County, NC",37155.0,144.0,8550.0
702,"Rockingham County, NC",37157.0,57.0,3802.0
703,"Rowan County, NC",37159.0,66.0,5948.0
704,"Rutherford County, NC",37161.0,28.0,1895.0
705,"Sampson County, NC",37163.0,64.0,4419.0
706,"Scotland County, NC",37165.0,50.0,3968.0
707,"Stanly County, NC",37167.0,38.0,1922.0
708,"Union County, NC",37179.0,84.0,6298.0
709,"Vance County, NC",37181.0,97.0,6338.0
710,"Wake County, NC",37183.0,657.0,48671.0
711,"Warren County, NC",37185.0,30.0,2403.0
712,"Washington County, NC",37187.0,19.0,1775.0
713,"Wayne County, NC",37191.0,169.0,10700.0
714,"Wilkes County, NC",37193.0,12.0,742.0
715,"Wilson County, NC",37195.0,122.0,8231.0
716,"Cass County, ND",38017.0,16.0,2389.0
717,"Ward County, ND",38101.0,15.0,1095.0
718,"Allen County, OH",39003.0,76.0,5157.0
719,"Ashtabula County, OH",39007.0,21.0,1412.0
720,"Belmont County, OH",39013.0,11.0,622.0
721,"Butler County, OH",39017.0,108.0,9305.0
722,"Clark County, OH",39023.0,51.0,4886.0
723,"Cuyahoga County, OH",39035.0,1800.0,109262.0
724,"Delaware County, OH",39041.0,10.0,1551.0
725,"Erie County, OH",39043.0,30.0,2709.0
726,"Fairfield County, OH",39045.0,12.0,2126.0
727,"Franklin County, OH",39049.0,1320.0,92699.0
728,"Greene County, OH",39057.0,30.0,2902.0
729,"Hamilton County, OH",39061.0,1214.0,68700.0
730,"Jefferson County, OH",39081.0,21.0,1356.0
731,"Lake County, OH",39085.0,32.0,2677.0
732,"Licking County, OH",39089.0,19.0,1878.0
733,"Lorain County, OH",39093.0,117.0,10158.0
734,"Lucas County, OH",39095.0,390.0,29379.0
735,"Mahoning County, OH",39099.0,191.0,12717.0
736,"Medina County, OH",39103.0,10.0,854.0
737,"Montgomery County, OH",39113.0,460.0,35887.0
738,"Muskingum County, OH",39119.0,17.0,1544.0
739,"Portage County, OH",39133.0,17.0,1979.0
740,"Richland County, OH",39139.0,36.0,3367.0
741,"Ross County, OH",39141.0,16.0,994.0
742,"Sandusky County, OH",39143.0,11.0,1058.0
743,"Stark County, OH",39151.0,169.0,11339.0
744,"Summit County, OH",39153.0,339.0,25495.0
745,"Trumbull County, OH",39155.0,78.0,5721.0
746,"Warren County, OH",39165.0,17.0,1409.0
747,"Wayne County, OH",39169.0,12.0,805.0
748,"Wood County, OH",39173.0,12.0,864.0
749,"Cleveland County, OK",40027.0,29.0,3672.0
750,"Comanche County, OK",40031.0,106.0,8039.0
751,"Jackson County, OK",40065.0,11.0,806.0
752,"Logan County, OK",40083.0,10.0,739.0
753,"McCurtain County, OK",40089.0,11.0,1120.0
754,"Muskogee County, OK",40101.0,22.0,2712.0
755,"Oklahoma County, OK",40109.0,596.0,41582.0
756,"Okmulgee County, OK",40111.0,17.0,1207.0
757,"Pottawatomie County, OK",40125.0,10.0,938.0
758,"Tulsa County, OK",40143.0,372.0,25695.0
759,"Wagoner County, OK",40145.0,12.0,1055.0
760,"Lane County, OR",41039.0,10.0,1753.0
761,"Marion County, OR",41047.0,13.0,1818.0
762,"Multnomah County, OR",41051.0,147.0,16639.0
763,"Washington County, OR",41067.0,28.0,4234.0
764,"Allegheny County, PA",42003.0,803.0,50672.0
765,"Beaver County, PA",42007.0,40.0,3991.0
766,"Berks County, PA",42011.0,104.0,9569.0
767,"Blair County, PA",42013.0,12.0,994.0
768,"Bucks County, PA",42017.0,64.0,7790.0
769,"Cambria County, PA",42021.0,26.0,1815.0
770,"Chester County, PA",42029.0,98.0,8474.0
771,"Cumberland County, PA",42041.0,27.0,2459.0
772,"Dauphin County, PA",42043.0,191.0,17443.0
773,"Delaware County, PA",42045.0,460.0,33156.0
774,"Erie County, PA",42049.0,133.0,9468.0
775,"Fayette County, PA",42051.0,30.0,1868.0
776,"Franklin County, PA",42055.0,12.0,2079.0
777,"Lackawanna County, PA",42069.0,39.0,2704.0
778,"Lancaster County, PA",42071.0,66.0,9825.0
779,"Lawrence County, PA",42073.0,16.0,1613.0
780,"Lebanon County, PA",42075.0,13.0,1321.0
781,"Lehigh County, PA",42077.0,99.0,10426.0
782,"Luzerne County, PA",42079.0,58.0,4333.0
783,"Lycoming County, PA",42081.0,35.0,2270.0
784,"Mercer County, PA",42085.0,35.0,2082.0
785,"Monroe County, PA",42089.0,50.0,5033.0
786,"Montgomery County, PA",42091.0,226.0,17823.0
787,"Northampton County, PA",42095.0,48.0,5281.0
788,"Philadelphia County, PA",42101.0,2917.0,210725.0
789,"Washington County, PA",42125.0,17.0,2179.0
790,"Westmoreland County, PA",42129.0,26.0,3070.0
791,"York County, PA",42133.0,104.0,9623.0
792,"Newport County, RI",44005.0,12.0,1400.0
793,"Providence County, RI",44007.0,229.0,23899.0
794,"Abbeville County, SC",45001.0,50.0,1707.0
795,"Aiken County, SC",45003.0,125.0,10817.0
796,"Allendale County, SC",45005.0,32.0,1880.0
797,"Anderson County, SC",45007.0,141.0,8815.0
798,"Bamberg County, SC",45009.0,27.0,2288.0
799,"Barnwell County, SC",45011.0,42.0,2802.0
800,"Beaufort County, SC",45013.0,102.0,10064.0
801,"Berkeley County, SC",45015.0,144.0,11846.0
802,"Calhoun County, SC",45017.0,18.0,1543.0
803,"Charleston County, SC",45019.0,435.0,31581.0
804,"Cherokee County, SC",45021.0,37.0,3330.0
805,"Chester County, SC",45023.0,43.0,3644.0
806,"Chesterfield County, SC",45025.0,57.0,4270.0
807,"Clarendon County, SC",45027.0,46.0,3986.0
808,"Colleton County, SC",45029.0,56.0,4207.0
809,"Darlington County, SC",45031.0,102.0,7653.0
810,"Dillon County, SC",45033.0,46.0,4506.0
811,"Dorchester County, SC",45035.0,80.0,8778.0
812,"Edgefield County, SC",45037.0,28.0,1876.0
813,"Fairfield County, SC",45039.0,39.0,3363.0
814,"Florence County, SC",45041.0,288.0,15782.0
815,"Georgetown County, SC",45043.0,77.0,5375.0
816,"Greenville County, SC",45045.0,280.0,23502.0
817,"Greenwood County, SC",45047.0,105.0,6226.0
818,"Hampton County, SC",45049.0,35.0,2770.0
819,"Horry County, SC",45051.0,164.0,11187.0
820,"Jasper County, SC",45053.0,24.0,2877.0
821,"Kershaw County, SC",45055.0,31.0,3814.0
822,"Lancaster County, SC",45057.0,64.0,4871.0
823,"Laurens County, SC",45059.0,65.0,4748.0
824,"Lee County, SC",45061.0,41.0,3087.0
825,"Lexington County, SC",45063.0,125.0,11056.0
826,"McCormick County, SC",45065.0,19.0,986.0
827,"Marion County, SC",45067.0,91.0,5427.0
828,"Marlboro County, SC",45069.0,47.0,3586.0
829,"Newberry County, SC",45071.0,31.0,3450.0
